,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,2805729,330333,305870,282922,265790
Harvest,37909,7862,17680,5031,5535
Development,791,186,399,151,116
Insect/Disease,13345,1922,1142,1564,1541
Beaver,1519,405,371,338,343
