,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3357002,1722,32893,3814,639243
Harvest,10993,787,60,6,16807
Development,4299,1,476,0,287
Insect/Disease,7702,15,0,11,10757
Beaver,410,0,0,0,1015
