,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3495735,41816,27714,322148,103231
Harvest,59097,7391,1538,2869,3122
Development,1573,3,6,61,0
Insect/Disease,13961,180,44,3657,1672
Beaver,2312,0,41,85,538
