,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,16959481,456484,571678,779512,1349676
Harvest,49880,156065,8215,10392,8217
Development,8422,1107,2695,340,32
Insect/Disease,36900,12013,2045,5828,11952
Beaver,4440,197,171,313,2900
