,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,1958,17,11819,427,7,410,1844,815,6286,0
development,0,109,23,737,1,561,11,4,8,0
forest,9159,12838,1234106,11669,6200,11842,132942,48943,626974,593
urban,260,7306,9714,94732,1452,19388,2820,3806,3965,3
water,3,916,2013,342,389452,575,127,6404,3740,8
ag,823,11516,8751,51553,482,453592,16253,9215,466,0
grass_shrub,1110,17135,44040,48452,910,92920,96220,58032,24263,9
wetland,1023,8311,29197,16213,32108,21316,70607,191508,85004,105
beaver,0,0,24,1,37,0,20,331,787,0
insect_disease,14,220,9825,146,46,159,286,348,1319,0
