,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10569,12562,25331,3834,1253,7281,450,301,1961,10475
development,7,422,145,108,8,591,48,52,4,258
forest,6580,7897,1653865,203082,32930,57645,55917,30776,5446,20407
urban,1214,3920,28674,28804,2908,24828,9191,4790,266,1614
water,76,521,25790,52087,143034,1759,690,3302,785,964
ag,14976,19780,65240,99207,6210,668503,76815,16583,651,3146
grass_shrub,1941,8491,73938,35355,3232,60378,42352,15659,1259,9687
wetland,1988,7884,177585,20989,14430,18202,41357,40315,6649,23962
beaver,4,170,754,128,423,146,49,818,328,156
insect_disease,343,336,15313,546,242,729,333,276,366,1030
