variant,2017_2019,2018_2020,2019_2021,2020_2022,2021_2023
v2,0.6507,0.7174,0.6085,0.6007,0.7198
v3,0.5873,0.6979,0.6047,0.6325,0.6542
v4,0.0839,0.6339,0.2849,0.0657,0.1575
v5,0.5914,0.6472,0.5483,0.5213,0.6592
v6,0.1649,0.1933,0.0709,0.1409,0.0791
