,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3632,4123,1110,876,16,424,521,157,11217,1507
development,14,354,5,374,23,396,165,97,25,1
forest,36585,407533,529267,594243,8288,8456,428055,57568,25129,142
urban,2496,40717,11039,34213,852,12153,27939,12282,1640,115
water,232,8059,1820,160697,190215,4984,2626,17693,17247,7
ag,7859,48450,37803,75136,2280,190611,168360,20094,1980,78
grass_shrub,5346,64342,33106,53464,912,33598,147297,40260,3605,1161
wetland,8968,73397,47007,83457,8887,32686,107433,64008,29209,340
beaver,8,269,43,98,61,1,137,124,459,0
insect_disease,332,4182,3694,1723,146,91,1050,99,1031,15
