,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,86,94,18775,237,6,85,1357,1359,6644,10
development,12,537,850,2414,68,986,79,109,8,0
forest,6159,23726,1170089,37243,5214,11079,195730,60872,352216,847
urban,198,3258,5596,129873,1609,4763,2471,5899,1806,6
water,0,2351,2314,3216,355394,380,702,7915,3303,2
ag,2088,11481,19845,58730,1248,477730,47565,32345,597,2
grass_shrub,371,11219,36366,73186,477,62450,107678,107755,42246,2078
wetland,297,12539,78346,34043,18917,24167,111396,174390,88462,480
beaver,0,0,62,2,76,0,115,301,869,0
insect_disease,63,7,6365,70,16,3,3019,1103,7827,12
