,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10666,25499,2339,3373,3298,19585,3702,3843,7268,5123
development,157,240,10,39,17,66,78,66,133,143
forest,211136,110282,272624,280678,293728,168286,281253,280198,181322,197158
urban,13116,10620,11932,12774,13187,9862,14534,12907,11649,13216
water,19238,10519,83532,90384,103943,16657,21130,18324,15942,21844
ag,46494,66751,18576,29358,22517,84693,47274,41433,40513,45500
grass_shrub,39405,39319,22463,28782,25109,28612,40456,33885,35910,42153
wetland,44736,29916,24397,36402,26813,29073,58680,47664,46091,55411
beaver,204,136,89,139,98,104,200,161,160,204
insect_disease,1353,1367,657,1373,612,1074,2436,2262,1596,1878
