,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,4708,239,11181,77,6,174,1758,740,4478,222
development,4,151,38,663,0,547,22,2,27,0
forest,11900,21227,1245622,10844,3273,8646,208971,49901,531603,3279
urban,403,14179,10500,88900,1435,15124,4720,5001,3142,42
water,7,1578,2419,494,387364,462,130,7864,3242,20
ag,909,22848,8599,54220,638,426667,26110,12464,194,2
grass_shrub,502,30828,44379,47879,491,62775,120053,62750,13040,394
wetland,525,13414,32457,15359,30556,13217,80167,203278,65726,693
beaver,1,0,23,0,20,0,80,227,848,1
insect_disease,20,450,9742,140,12,45,565,282,1049,58
