,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3276,7412,237,699,442,4598,1195,1010,2502,2212
development,239,442,17,43,21,293,63,50,146,140
forest,225582,169312,66524,166332,71156,151525,360636,276531,272080,335588
urban,23065,28361,1943,6732,2443,11649,15097,10000,18707,25449
water,68150,39640,17205,29642,14932,23540,51826,39906,51614,67125
ag,77388,122588,7935,21941,10420,121171,37561,29543,57402,66702
grass_shrub,67196,67179,6144,19719,5048,30716,36759,25444,52324,72562
wetland,72748,72531,7691,24720,8456,34226,52618,36626,62860,82916
beaver,210,182,25,55,18,87,121,75,204,223
insect_disease,1329,1210,390,1001,387,845,2050,1663,1511,1977
