,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,602,81,18153,855,25,68,736,644,293,363
development,29,239,192,1391,2,1592,15,27,0,0
forest,2,132,1821752,32148,6805,23330,237721,118642,18835,542
urban,36,101,12748,96331,2479,10281,2587,7476,102,74
water,0,11,3000,594,299359,99,162,12841,149,15
ag,261,432,5887,33966,518,431974,5345,13412,0,0
grass_shrub,8,142,35707,61783,1252,71103,80073,103437,114,13
wetland,4,80,107072,32730,33440,21719,85026,206168,8518,1277
beaver,0,0,91,0,47,13,264,468,42,0
insect_disease,1,0,2352,15,3,0,275,71,796,255
