,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10287,2068,45612,599,17,319,4517,1118,5682,3798
development,9,197,432,485,4,456,1,11,0,48
forest,3823,1723,1721950,7989,4080,10437,101441,18423,37279,167400
urban,875,1762,16365,66659,1018,10464,3510,3637,1044,875
water,3,116,5722,718,214460,239,200,4984,1773,793
ag,2018,12651,56049,94547,825,769927,23106,9573,403,2012
grass_shrub,824,1842,54237,20690,152,71728,70958,21387,6885,3589
wetland,752,1204,101586,14886,7574,17815,31454,72354,89933,15803
beaver,8,79,821,191,140,13,135,965,603,21
insect_disease,91,63,12524,566,173,390,749,455,1713,2790
