,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,7391,1538,45502,885,15,250,10993,1452,3122,2869
development,3,6,424,744,3,393,0,9,0,61
forest,27023,3025,1614427,6043,4066,9577,89064,15348,25176,280796
urban,2615,1521,13436,66930,1008,10261,3860,3319,984,2275
water,23,45,5474,505,216024,209,159,2465,2275,1829
ag,4329,20393,49710,78958,811,782836,20067,9790,84,4133
grass_shrub,3156,1798,47243,16210,215,75563,76448,18263,7302,6094
wetland,4666,911,95864,10888,7816,18901,37626,82503,67185,27001
beaver,0,41,1064,191,248,11,55,743,538,85
insect_disease,180,44,11883,412,184,349,469,664,1672,3657
