,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,787,60,5641,216,3,90,3189,1854,16807,6
development,1,476,330,3010,61,697,58,143,287,0
forest,726,4721,1160920,34639,5763,11043,134726,66613,443077,947
urban,92,2715,6140,126051,1478,5215,2008,8280,3476,24
water,0,2087,2450,2742,357397,367,398,6973,3141,22
ag,598,7954,21766,45547,1426,487507,47176,37330,2324,3
grass_shrub,128,5820,36849,65654,363,65524,99938,119764,47706,2080
wetland,178,9578,68223,30103,19277,27580,82102,165758,139500,738
beaver,0,0,36,1,69,0,5,299,1015,0
insect_disease,15,0,5363,19,14,2,1451,853,10757,11
