,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,2304,7815,188,423,476,7190,562,619,1251,992
development,350,1424,89,119,104,703,162,153,201,182
forest,248685,172128,117707,200143,124328,166119,352423,290467,266336,321573
urban,15140,11391,9382,12538,9863,10378,17444,15184,14042,16853
water,25066,10558,47698,44987,51977,23012,35914,39228,19160,18630
ag,59690,66632,17645,35205,19199,55256,63829,51850,55862,66627
grass_shrub,49548,60798,11258,22197,13518,38421,35316,31057,45331,46188
wetland,74292,68179,11266,31001,11980,36992,62107,45680,68442,86095
beaver,145,329,12,32,21,127,53,44,84,78
insect_disease,560,1688,22,96,71,329,134,161,391,316
