,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,5555,1392,37330,728,9,545,5709,456,526,32446
development,216,302,318,35,0,28,25,2,0,23
forest,298944,20760,1148306,9526,2160,8191,105391,17435,93861,572091
urban,10385,24274,9224,55267,2226,8631,3048,4382,974,5386
water,87,145,3703,790,388986,23,63,3084,2277,2355
ag,5320,50076,14825,36187,64,316554,12172,5454,127,2330
grass_shrub,24089,52762,26359,33702,1334,66785,85815,29867,1066,14315
wetland,9415,4308,55022,12520,11773,1988,48217,122826,65465,67649
beaver,12,23,181,7,211,5,85,314,335,322
insect_disease,8791,88,1552,6,0,0,111,46,56,3958
