,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,1712,275,10042,240,2,74,543,1568,9757,4440
development,11,953,307,2107,51,911,40,155,22,506
forest,283,157,1376639,49820,4810,12528,97448,146032,171578,3880
urban,403,178,6733,132655,1472,5206,1074,6331,1117,310
water,3,65,3168,4781,355919,463,101,10247,802,28
ag,3238,1203,24744,60162,716,486173,17277,56298,1818,2
grass_shrub,281,433,50500,79288,248,68295,57926,145461,40613,781
wetland,421,532,103445,43263,17366,28240,42376,246081,60641,672
beaver,0,0,68,1,59,0,14,386,897,0
insect_disease,1,0,9131,98,14,1,1367,1596,6261,16
