,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,269,1627,614,899,35,5319,78,95,2,12882
development,37,349,99,346,2,2050,56,12,3,533
forest,470,235,284974,1299625,9191,470323,47240,30756,182,116913
urban,318,318,26290,41183,473,43038,8097,2654,121,9723
water,2,188,47707,177275,78,88546,1247,386,2,799
ag,7536,2445,108207,54848,242,242289,21283,11171,2264,41510
grass_shrub,664,335,30166,75667,866,106408,52762,44085,64,42615
wetland,53,772,37095,155189,805,206430,41080,18478,31,36101
beaver,0,0,28,94,1,358,2,216,27,199
insect_disease,1,0,253,259,0,935,6,9,0,2305
