,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,9693,1116,33208,872,5,566,4335,479,1114,33308
development,238,294,238,56,0,29,12,9,1,72
forest,128418,4081,1444918,25522,1646,9944,66637,37825,94252,463422
urban,7395,6927,17622,69750,2126,8836,1897,4771,895,3578
water,2,8,4217,1212,388724,40,32,3770,1560,1948
ag,4764,20464,20201,55490,59,322857,9473,7531,492,1778
grass_shrub,13445,22362,48352,58208,1059,69824,72638,34562,3541,12103
wetland,3639,472,71156,21225,10882,2306,25923,139349,71502,52729
beaver,11,2,175,8,173,6,30,337,427,326
insect_disease,7750,22,2986,79,0,0,37,29,154,3551
