,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3490,3263,96,4471,59,1643,0,54,1304,14273
development,34,507,80,468,6,1868,103,37,28,1932
forest,567,454,8322,1697033,31519,72518,971,5616,704,45471
urban,755,207,10806,64991,3121,36694,1853,2055,438,34559
water,147,4,147375,165786,429,38930,4244,620,419,17623
ag,25959,4461,16124,165896,9441,252985,6930,18150,4873,146812
grass_shrub,1234,1961,6580,249986,7492,74667,4169,7079,1959,88699
wetland,3662,3021,12164,354249,9410,90131,2466,7641,5463,54830
beaver,3,0,14,430,96,73,0,27,207,575
insect_disease,7,23,878,16637,161,481,0,41,96,161
