,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,2438,39,14065,111,11,154,1830,1078,3857,0
development,0,62,86,645,2,585,56,4,14,0
forest,73782,23365,997410,5968,6727,9144,180984,54881,737331,5674
urban,363,15679,9868,84588,1542,16022,3859,7514,3995,16
water,3,1421,1984,228,388521,421,76,5566,5339,21
ag,647,19242,9437,46715,1428,436020,17493,21321,345,3
grass_shrub,729,30672,41818,36016,1543,72250,97984,80614,21448,17
wetland,1658,9685,27751,10119,36781,14272,59453,224810,69939,924
beaver,1,0,10,0,19,0,91,303,776,0
insect_disease,90,430,9717,61,59,53,312,510,1125,6
