,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,7862,17680,4310,4781,5372,14654,4482,4310,5535,5031
development,186,399,29,58,32,515,91,66,116,151
forest,135322,55752,396686,334120,451612,139771,176792,184857,101368,98265
urban,11355,10239,8621,10510,9458,9745,13143,11857,10055,11226
water,24784,12856,27395,26009,28525,16980,24801,23757,18343,25558
ag,96642,171993,32150,51762,40587,268368,78820,70357,77098,83334
grass_shrub,27507,28221,16697,22448,17943,26248,32071,28204,24594,28359
wetland,34301,26403,32323,37880,34499,29018,46274,43294,33827,35542
beaver,405,371,213,244,203,226,310,323,343,338
insect_disease,1922,1142,2277,2334,2268,1505,2448,2513,1541,1564
