,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,51,32,18477,891,16,78,895,600,780,0
development,13,118,186,1416,6,1674,50,24,0,0
forest,3718,4469,1593649,36050,9087,20629,316889,78092,197288,38
urban,327,323,11117,96870,2666,9248,3197,7045,1401,21
water,3,559,2180,409,299314,59,393,9420,3886,7
ag,2308,709,4898,39048,905,424443,8561,10923,0,0
grass_shrub,267,1431,28829,65275,1589,71691,100077,83520,953,0
wetland,212,1391,85044,34572,33270,21254,102441,174879,42769,202
beaver,0,0,41,1,48,37,373,326,99,0
insect_disease,7,1,2391,16,2,0,360,76,915,0
