,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,2641,9494,650,818,1141,9706,893,1028,1318,964
development,623,1486,44,147,104,1179,318,236,427,499
forest,140262,60913,302802,257240,333321,136244,199659,204494,115684,112556
urban,16542,13118,7058,13291,7635,12418,24750,20492,18286,21889
water,23685,12688,67735,60775,75420,22551,34357,28698,23109,26559
ag,77754,101642,10541,30123,14619,146794,66042,47776,69927,86413
grass_shrub,50979,39620,23590,37946,24820,35258,64269,53224,51401,62719
wetland,57836,36996,46977,56177,50369,42210,72114,66145,53257,60956
beaver,167,194,72,104,101,132,158,139,177,181
insect_disease,1341,479,3586,2703,4032,1366,1617,1792,820,749
