,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,34,3,11500,1003,6,61,5100,1480,2633,0
development,19,21,175,2395,2,836,10,29,0,0
forest,282,3162,1560904,27672,6993,16715,253977,96823,293354,27
urban,111,633,11080,94779,2347,9134,3001,8709,2412,9
water,0,161,2354,399,298341,32,131,11736,3068,8
ag,346,1766,4883,35620,649,422091,14189,12243,8,0
grass_shrub,64,1225,26510,58941,1034,61070,105756,94744,4287,1
wetland,35,2880,77525,23431,31752,17478,83548,186679,72356,350
beaver,0,0,23,0,167,0,60,414,261,0
insect_disease,3,0,733,12,3,0,254,103,2660,0
