,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,16184031,572499,379363,914826,2066112
Harvest,160516,17150,2153,34562,18388
Development,11178,247,1100,48,23
Insect/Disease,38440,10296,586,6071,13345
Beaver,4283,73,88,341,3236
