,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,7681,17335,4299,4756,5354,14618,4453,4270,5453,5012
development,192,417,30,61,32,523,98,69,122,161
forest,136349,55577,400111,336904,455131,140939,178139,186863,101587,98235
urban,11713,10384,8870,10867,9747,9991,13636,12348,10447,11660
water,24738,12876,27092,25788,28145,16948,24784,23741,18324,25597
ag,93329,169570,30451,49088,38848,266157,74547,66443,73766,79439
grass_shrub,31112,31508,17259,24321,18512,28332,36354,31712,28477,32767
wetland,33674,26185,31449,37026,33564,28487,45521,42489,33374,35182
beaver,311,342,57,114,57,136,212,197,283,284
insect_disease,1127,742,1072,1189,1104,847,1469,1352,926,973
