,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,269,1628,632,928,35,5371,79,95,2,13149
development,37,349,99,346,2,2050,56,12,3,533
forest,469,226,281913,1289592,9015,465034,45261,29336,160,112576
urban,318,281,26398,41360,472,43787,7213,2757,121,10400
water,2,35,47005,174904,37,85347,339,79,0,462
ag,7536,2360,103832,53536,238,231663,19199,9317,2259,35694
grass_shrub,664,393,33980,74738,865,114676,53986,44179,68,47823
wetland,52,996,40297,169216,977,215839,45680,21751,37,39887
beaver,0,1,275,128,15,559,6,243,32,472
insect_disease,1,0,994,627,37,1225,44,108,14,2585
