,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,4663,198,11449,59,20,132,2321,971,5110,233
development,4,145,35,602,0,516,110,8,12,0
forest,12017,22140,1229268,11210,3580,11808,190285,46758,522210,3160
urban,442,14389,10277,85926,1311,18312,3916,3876,3075,42
water,7,1501,3615,478,388291,237,121,9164,3712,20
ag,931,24857,8872,55993,469,415198,28807,13233,216,2
grass_shrub,445,29690,36333,47429,390,75965,128874,59779,14008,297
wetland,433,11086,55256,12741,29629,5295,86832,207365,73085,898
beaver,0,0,6,0,5,0,55,126,420,1
insect_disease,20,450,9726,139,12,45,554,277,1021,58
