,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,1972,17,12156,326,18,343,2090,1206,7028,0
development,0,103,20,684,0,523,87,6,9,0
forest,9214,13603,1218966,12147,6449,15082,117860,44940,613582,593
urban,258,7395,9458,91232,1337,22834,2139,2999,3911,3
water,4,805,3295,362,390315,433,160,7684,4080,8
ag,945,13138,9222,53390,290,443874,17419,9816,484,0
grass_shrub,1019,17052,39035,46656,846,106475,105461,54915,21742,9
wetland,917,6034,47422,14257,31280,10966,75147,196580,99912,105
beaver,0,0,8,1,12,0,19,166,407,0
insect_disease,14,220,9810,143,46,159,281,339,1290,0
