,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,51,32,18808,888,17,78,904,627,783,0
development,13,118,186,1416,6,1674,50,24,0,0
forest,3716,4223,1585807,35496,8905,18497,310538,73054,193309,37
urban,327,308,11121,98454,2650,10483,3260,5074,1409,21
water,3,508,2358,362,296490,25,267,4454,3736,7
ag,2307,583,4353,32340,850,408047,7615,9539,0,0
grass_shrub,267,1506,29284,70276,1620,87393,98531,81526,969,0
wetland,215,1669,90982,35222,36009,22800,110899,190042,46691,203
beaver,0,16,311,64,74,125,672,368,101,0
insect_disease,7,70,3602,39,282,4,520,196,915,0
