,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,2354,7950,196,434,485,7218,583,636,1298,1034
development,350,1424,89,119,104,703,162,153,201,182
forest,245610,169725,117162,198429,123664,164217,348049,287371,262532,316823
urban,15344,11041,9403,12588,9798,10277,17781,15327,14142,17406
water,23959,9680,47480,44425,51762,22455,34805,38364,18091,17189
ag,56004,63702,17251,33690,18738,53351,60004,49291,52123,61480
grass_shrub,51884,62900,11562,23268,13838,39693,37990,32768,47904,49565
wetland,79274,72231,11946,33422,12915,39944,67985,49927,73997,93091
beaver,262,413,28,76,37,194,159,137,211,214
insect_disease,728,1817,147,285,192,470,418,462,579,537
