,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3501,3977,1327,1174,30,439,1165,268,11720,1555
development,13,401,5,356,23,355,189,67,22,1
forest,36844,394585,525216,581765,8240,8761,416193,56283,24406,143
urban,2698,39378,11577,33938,762,13268,26961,11204,1668,112
water,219,8586,1933,160601,190862,5042,2854,19432,17610,7
ag,7819,50715,36279,71578,2251,187453,171623,18721,2054,85
grass_shrub,5365,66155,25575,55217,967,36993,155963,42505,3321,1149
wetland,8640,80592,59172,95904,8353,30620,106677,62956,29407,299
beaver,7,146,17,29,8,1,113,57,235,0
insect_disease,327,4171,3690,1707,146,91,1045,97,1013,15
