,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,86,49,18351,236,5,83,1101,1190,6035,10
development,6,434,1312,1518,69,682,78,68,9,0
forest,6226,23042,1161925,34963,5472,16656,185385,62838,353247,845
urban,303,4887,8649,131378,2002,9258,3054,6407,1838,257
water,0,1006,1954,767,351722,183,179,4926,3079,2
ag,2001,10084,23244,70279,1275,473357,58987,31127,412,37
grass_shrub,340,14284,36378,68953,422,53489,90813,107842,40374,2047
wetland,312,11397,83470,30742,21968,27585,129185,177033,96213,233
beaver,0,31,512,16,84,382,243,430,869,0
insect_disease,0,0,2814,67,1,0,1229,195,1902,6
