,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,9104,645,48511,454,13,300,3972,1179,6804,2249
development,6,81,463,603,5,499,2,20,1,25
forest,110312,8808,1478720,6438,3335,10471,76631,15733,165480,213907
urban,3785,3082,12623,68508,1083,10122,3438,3217,2750,1055
water,65,159,3974,602,213292,220,80,3096,5850,695
ag,2461,27367,48089,76819,1892,759740,14632,7296,864,2478
grass_shrub,5400,9569,47141,20356,235,75667,80419,22225,14693,4649
wetland,10185,4393,62805,16690,6638,17616,24034,47382,140049,17159
beaver,46,65,267,194,101,11,329,348,614,18
insect_disease,161,56,5246,215,141,367,195,298,2417,1705
