,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,602,81,18495,848,26,68,741,671,293,363
development,29,239,192,1391,2,1592,15,27,0,0
forest,2,132,1811272,31891,6817,20490,234847,110879,16712,540
urban,36,101,12775,97914,2472,11522,2646,5465,102,74
water,0,9,3134,531,296679,56,79,7593,114,15
ag,261,432,5097,28420,483,414486,4664,11791,0,0
grass_shrub,8,142,36271,65468,1268,88214,79209,100665,114,13
wetland,4,80,115574,33283,35957,23619,89228,225171,10537,1279
beaver,0,2,430,45,57,130,472,553,42,0
insect_disease,1,0,3712,39,169,4,340,319,796,255
