,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,9827,1889,43037,980,32,237,12966,614,2470,12157
development,162,327,320,79,0,24,7,9,18,3
forest,132774,12807,1548234,8572,1659,8440,99142,23285,132978,316851
urban,6097,26198,11640,50961,2082,8121,3229,4897,2031,3565
water,0,78,3971,1066,387594,28,34,4836,2018,1882
ag,3979,26537,18928,31888,57,347528,16559,4453,160,1408
grass_shrub,10516,41970,31892,30033,1101,74218,108428,29874,4326,8170
wetland,1656,1147,67260,10485,8960,2818,45099,134038,74007,39153
beaver,36,30,148,6,175,3,9,405,406,277
insect_disease,6382,99,4811,33,0,1,113,125,36,3008
