,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10342,1067,33296,864,32,204,4329,405,1123,32547
development,238,294,238,56,0,29,12,9,1,72
forest,129416,4258,1445666,25438,1669,9868,66319,37738,96930,467440
urban,7424,6740,17354,66701,2118,7400,1864,4748,894,3578
water,2,9,4228,1243,388644,44,32,3777,1570,1958
ag,4857,20926,21957,58416,61,325499,9753,7670,498,1860
grass_shrub,12014,21859,46473,58522,1057,68854,74081,34937,5560,17171
wetland,3303,571,70736,21095,10956,2504,24558,139045,66939,44916
beaver,11,2,175,8,173,6,30,337,427,326
insect_disease,7750,22,2986,79,0,0,37,29,154,3551
