,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,1712,169,9650,238,1,74,396,1377,9106,4423
development,18,883,386,1177,52,612,40,109,27,872
forest,285,162,1367645,46962,5147,18351,93191,143087,172114,3655
urban,550,262,10859,134723,1794,10215,1184,6999,1150,297
water,1,11,2348,1422,352447,209,30,6593,730,27
ag,3153,1329,28416,71450,747,481435,30393,52590,1155,135
grass_shrub,234,478,51795,76806,203,59795,40409,144954,39579,689
wetland,399,501,110006,39434,20197,30842,52466,257217,66570,506
beaver,0,0,552,28,64,393,54,579,897,0
insect_disease,1,0,3122,91,0,0,138,653,2178,31
