,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10366,1789,45871,510,12,318,3470,1059,5729,4107
development,9,199,432,518,4,479,2,14,0,48
forest,3910,2564,1735417,9197,4156,10835,97934,20208,37871,167743
urban,929,1910,16495,69673,1031,10641,3513,3574,1021,876
water,4,116,4642,609,214284,238,225,5292,1650,973
ag,1720,9835,50516,87289,809,765341,17758,6051,333,1986
grass_shrub,925,3914,56343,24665,194,75866,81768,25643,7160,3876
wetland,753,1192,99202,14503,7640,17596,30817,69868,89712,15668
beaver,8,79,288,185,140,13,90,745,424,21
insect_disease,66,36,6075,288,173,388,173,380,1391,1831
