,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3510,7377,263,820,467,4657,1476,1216,2752,2618
development,246,426,20,47,18,243,67,51,158,156
forest,220429,166410,65715,163507,70218,148806,352903,271585,265481,327382
urban,22621,27475,1941,6737,2386,11672,15162,10088,18485,24999
water,68499,40194,17309,29882,15123,23821,52422,40388,52064,67444
ag,78181,123840,7613,21227,10008,119806,35869,28152,57323,66559
grass_shrub,69293,69069,6213,19996,5412,31794,37607,26005,53931,73890
wetland,73787,71214,8545,27331,9175,36357,59752,41299,66665,88495
beaver,122,82,15,27,6,36,47,35,111,132
insect_disease,1323,1206,388,999,385,841,2040,1656,1502,1962
