,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10713,11365,25505,3818,1254,7462,443,290,1952,10429
development,7,447,146,140,8,594,48,53,4,258
forest,6525,7120,1663665,206870,33525,57565,56502,32189,5717,20157
urban,1224,4036,29485,30696,3006,25010,9347,4961,266,1632
water,72,517,25044,51951,142860,1776,692,3402,749,970
ag,14793,17663,58319,88442,5627,664405,74482,14334,608,2965
grass_shrub,1957,12624,82233,41639,3815,64713,44235,17586,1256,10296
wetland,1958,7729,174516,20129,13991,17712,41214,39237,6537,23928
beaver,4,170,240,64,336,119,42,558,304,156
insect_disease,307,170,7402,475,243,689,147,224,239,905
