variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v6,2020_2022,False,7,grass_shrub,0.08631,0.11909,0.10009,0.05268,340528,31,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,8,wetland,0.10512,0.12048,0.11228,0.05948,384623,28,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,9,beaver,0.00047,0.10702,0.00094,0.00047,1495,6,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v6,2020_2022,False,10,insect_disease,0.00491,0.12856,0.00945,0.00475,14608,5,False,0.1407,0.09557,0.05238,0.03788,36,4082979
v2,2021_2023,False,1,harvest,0.63839,0.02713,0.05205,0.02672,22188,11,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,2,development,0.19622,0.06854,0.10159,0.05352,3487,10,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,3,forest,0.9025,0.81093,0.85427,0.74561,2233582,36,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,4,urban,0.37684,0.7356,0.49837,0.33189,133107,36,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,5,water,0.86261,0.96259,0.90986,0.83463,308210,28,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,6,ag,0.73991,0.89015,0.80811,0.67801,465634,18,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,7,grass_shrub,0.19214,0.21329,0.20216,0.11245,371372,33,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,8,wetland,0.48619,0.42109,0.45131,0.29141,534732,29,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,9,beaver,0.00146,0.02426,0.00276,0.00138,1731,6,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v2,2021_2023,False,10,insect_disease,0.10043,0.04525,0.06239,0.0322,5635,5,False,0.71718,0.39429,0.31078,0.58559,36,4079678
v3,2021_2023,False,1,harvest,0.03803,0.00153,0.00295,0.00148,22188,11,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,2,development,0.00213,0.00602,0.00315,0.00158,3487,10,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,3,forest,0.91739,0.69647,0.79181,0.65537,2233582,36,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,4,urban,0.39401,0.72302,0.51006,0.34234,133107,36,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,5,water,0.86561,0.95853,0.9097,0.83436,308210,28,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,6,ag,0.77128,0.87364,0.81928,0.69388,465634,18,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,7,grass_shrub,0.22591,0.28351,0.25145,0.14381,371372,33,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,8,wetland,0.4862,0.37549,0.42373,0.26882,534732,29,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,9,beaver,0.00071,0.15713,0.00142,0.00071,1731,6,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v3,2021_2023,False,10,insect_disease,0.0,0.0,,0.0,5635,5,False,0.65213,0.41262,0.29423,0.52064,36,4079678
v4,2021_2023,False,1,harvest,0.02878,0.01212,0.01706,0.0086,22188,11,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,2,development,0.05567,0.10009,0.07155,0.0371,3487,10,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,3,forest,0.52652,0.12622,0.20362,0.11335,2233582,36,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,4,urban,0.02291,0.31073,0.04267,0.0218,133107,36,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,5,water,0.00316,0.00012,0.00023,0.00012,308210,28,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,6,ag,0.19876,0.49752,0.28404,0.16553,465634,18,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,7,grass_shrub,0.31412,0.14537,0.19876,0.11034,371372,33,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,8,wetland,0.20163,0.04068,0.0677,0.03503,534732,29,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,9,beaver,0.01187,0.01849,0.01446,0.00728,1731,6,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v4,2021_2023,False,10,insect_disease,0.00981,0.45874,0.0192,0.0097,5635,5,False,0.15539,0.09193,0.05089,0.03305,36,4079678
v5,2021_2023,False,1,harvest,0.00738,0.0023,0.00351,0.00176,22188,11,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,2,development,0.01306,0.03384,0.01885,0.00951,3487,10,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,3,forest,0.90783,0.70998,0.79681,0.66225,2233582,36,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,4,urban,0.35859,0.73966,0.48302,0.3184,133107,36,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,5,water,0.85468,0.96197,0.90516,0.82675,308210,28,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,6,ag,0.74308,0.87633,0.80422,0.67255,465634,18,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,7,grass_shrub,0.18477,0.26532,0.21784,0.12223,371372,33,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,8,wetland,0.5208,0.3554,0.42249,0.26782,534732,29,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,9,beaver,0.00041,0.05835,0.00081,0.0004,1731,6,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v5,2021_2023,False,10,insect_disease,0.0,0.0,,0.0,5635,5,False,0.65634,0.40585,0.28817,0.52132,36,4079678
v6,2021_2023,False,1,harvest,0.00495,0.10609,0.00945,0.00475,22188,11,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,2,development,0.00355,0.40837,0.00704,0.00353,3487,10,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,3,forest,0.54427,0.05245,0.09569,0.05025,2233582,36,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,4,urban,0.0363,0.09457,0.05247,0.02694,133107,36,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,5,water,0.22356,0.16794,0.1918,0.10607,308210,28,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,6,ag,0.1576,0.11458,0.13269,0.07106,465634,18,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,7,grass_shrub,0.06689,0.1023,0.08089,0.04215,371372,33,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,8,wetland,0.10523,0.09337,0.09895,0.05205,534732,29,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,9,beaver,0.00045,0.12189,0.00089,0.00045,1731,6,False,0.08023,0.06718,0.03582,0.00641,36,4079678
v6,2021_2023,False,10,insect_disease,0.00096,0.0953,0.00191,0.00095,5635,5,False,0.08023,0.06718,0.03582,0.00641,36,4079678
