variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v5,2017_2019,False,10,insect_disease,0.00175,0.00097,0.00124,0.00062,6214,5,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v6,2017_2019,False,1,harvest,0.00665,0.0911,0.0124,0.00624,27146,16,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,2,development,0.00522,0.34602,0.01029,0.00517,4176,12,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,3,forest,0.6551,0.16392,0.26222,0.1509,1850599,35,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,4,urban,0.03042,0.08315,0.04454,0.02278,168033,35,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,5,water,0.14672,0.2063,0.17148,0.09378,363818,28,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,6,ag,0.35875,0.21816,0.27132,0.15696,670803,21,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,7,grass_shrub,0.13112,0.14667,0.13846,0.07438,414942,30,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,8,wetland,0.16691,0.12241,0.14124,0.07599,578138,32,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,9,beaver,0.00095,0.12388,0.00189,0.00094,2567,8,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,10,insect_disease,0.00118,0.07097,0.00232,0.00116,6214,5,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v2,2018_2020,True,1,harvest,0.55463,0.14155,0.22554,0.1271,73231,19,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,2,development,0.0092,0.11672,0.01705,0.0086,1705,11,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,3,forest,0.86113,0.83041,0.84549,0.73234,2089835,36,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,4,urban,0.33588,0.63534,0.43944,0.28159,109663,36,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,5,water,0.93802,0.93971,0.93886,0.88477,228033,28,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,6,ag,0.86801,0.81278,0.83949,0.72338,941638,22,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,7,grass_shrub,0.34684,0.29166,0.31687,0.18826,280354,32,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,8,wetland,0.52598,0.20138,0.29125,0.17044,346951,22,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,9,beaver,0.00292,0.21274,0.00576,0.00289,1993,6,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,10,insect_disease,0.00929,0.16952,0.01761,0.00888,10801,11,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v3,2018_2020,True,1,harvest,0.15186,0.10242,0.12233,0.06515,73231,19,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,2,development,0.0002,0.00352,0.00039,0.00019,1705,11,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,3,forest,0.86334,0.77872,0.81885,0.69326,2089835,36,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,4,urban,0.37921,0.62881,0.47311,0.30985,109663,36,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,5,water,0.93682,0.94651,0.94164,0.88972,228033,28,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,6,ag,0.86519,0.82532,0.84478,0.73128,941638,22,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,7,grass_shrub,0.36606,0.31146,0.33656,0.20233,280354,32,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,8,wetland,0.59808,0.23155,0.33385,0.20037,346951,22,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,9,beaver,0.0039,0.21174,0.00765,0.00384,1993,6,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,10,insect_disease,0.00714,0.2172,0.01382,0.00696,10801,11,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v4,2018_2020,True,1,harvest,0.28522,0.14629,0.19339,0.10705,73231,19,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,2,development,0.00723,0.26217,0.01407,0.00708,1705,11,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,3,forest,0.80504,0.79607,0.80053,0.66741,2089835,36,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,4,urban,0.0691,0.27991,0.11084,0.05867,109663,36,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,5,water,0.69802,0.62649,0.66032,0.4929,228033,28,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,6,ag,0.79092,0.70558,0.74582,0.59466,941638,22,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,7,grass_shrub,0.19474,0.15778,0.17432,0.09548,280354,32,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,8,wetland,0.34774,0.11309,0.17068,0.0933,346951,22,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,9,beaver,0.01724,0.15253,0.03098,0.01573,1993,6,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v4,2018_2020,True,10,insect_disease,0.01262,0.08379,0.02194,0.01109,10801,11,False,0.63598,0.29229,0.21434,0.46591,36,4084204
v5,2018_2020,True,1,harvest,0.06433,0.12432,0.08478,0.04427,73231,19,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,2,development,0.00149,0.04751,0.0029,0.00145,1705,11,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,3,forest,0.86584,0.70758,0.77875,0.63767,2089835,36,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,4,urban,0.35891,0.62471,0.4559,0.29525,109663,36,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,5,water,0.94071,0.93536,0.93803,0.88328,228033,28,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,6,ag,0.86826,0.80683,0.83642,0.71883,941638,22,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,7,grass_shrub,0.39473,0.28685,0.33225,0.19922,280354,32,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,8,wetland,0.47009,0.13657,0.21165,0.11835,346951,22,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,9,beaver,0.00181,0.30808,0.0036,0.0018,1993,6,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v5,2018_2020,True,10,insect_disease,0.00699,0.15786,0.01339,0.00674,10801,11,False,0.65118,0.36577,0.29069,0.5195,36,4084204
v6,2018_2020,True,1,harvest,0.02258,0.10489,0.03716,0.01893,73231,19,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,2,development,0.00128,0.24457,0.00255,0.00128,1705,11,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,3,forest,0.76842,0.19146,0.30654,0.18101,2089835,36,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,4,urban,0.02217,0.09909,0.03624,0.01845,109663,36,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,5,water,0.04766,0.12343,0.06877,0.03561,228033,28,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,6,ag,0.52499,0.28265,0.36746,0.22509,941638,22,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,7,grass_shrub,0.09587,0.12967,0.11024,0.05833,280354,32,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,8,wetland,0.115,0.12246,0.11861,0.06305,346951,22,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,9,beaver,0.00104,0.142,0.00206,0.00103,1993,6,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v6,2018_2020,True,10,insect_disease,0.00336,0.09008,0.00648,0.00325,10801,11,False,0.19428,0.10561,0.0606,0.08342,36,4084204
v2,2019_2021,False,1,harvest,0.24591,0.18536,0.21139,0.11819,25156,19,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,2,development,0.00139,0.10126,0.00274,0.00137,1432,8,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,3,forest,0.90067,0.59893,0.71944,0.56182,2052436,35,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,4,urban,0.40044,0.60697,0.48254,0.31799,141566,36,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,5,water,0.91641,0.95369,0.93468,0.87737,407146,35,False,0.60521,0.39425,0.30278,0.49395,36,4065059
