,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,7500,1559,46092,704,11,250,9698,1236,3082,3099
development,3,6,424,777,3,415,0,16,0,61
forest,27591,4583,1627398,6166,4161,10147,85471,17638,26178,280502
urban,2758,2520,13391,68957,1022,10495,3738,3507,1008,2267
water,25,41,4067,414,215835,207,191,2667,2237,2349
ag,2702,14443,45740,74904,802,777149,15335,6588,63,3912
grass_shrub,4060,5236,48167,18919,254,80582,87320,21332,7086,7398
wetland,4651,853,93435,10588,7871,18637,36627,80338,67148,26803
beaver,0,41,357,190,247,11,23,639,422,63
insect_disease,96,44,5942,225,184,347,137,366,1114,2346
