,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,2473,9204,461,691,940,9549,791,931,1228,878
development,458,1445,32,91,89,1181,166,128,301,285
forest,138283,60064,303347,256265,334407,136635,196612,201793,113298,109895
urban,18454,15016,7276,13972,7795,13474,26286,21575,20039,24146
water,22057,11367,67384,60053,75055,21701,32679,27566,21551,24405
ag,81467,103731,10548,31011,14927,146343,69227,49299,73455,90795
grass_shrub,46394,35930,22441,36174,23246,32804,60860,50824,47602,58667
wetland,61357,39285,50739,60108,54261,45395,76440,70772,56180,63601
beaver,282,320,93,174,118,374,296,246,318,346
insect_disease,604,323,735,785,727,472,812,886,429,441
