,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,14597,3088,328,24066,16,2026,87,68,17791,22142
development,63,310,1,270,1,53,0,4,174,73
forest,6748,3046,3618,2194113,6170,35552,2889,1707,22066,8833
urban,4326,2207,5269,88543,628,8482,1171,353,6070,1772
water,49,34,43173,286486,151,58728,5410,68,2395,5013
ag,29676,15891,17177,192002,1679,143013,8919,2373,33230,7537
grass_shrub,6917,4370,9792,220998,1556,33451,15560,1912,27157,18815
wetland,2454,2330,3816,324710,2801,23400,4555,1594,17056,1907
beaver,17,7,3,747,57,31,2,27,505,99
insect_disease,337,57,34,12699,0,165,6,5,1161,144
