,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,34,3,11670,998,6,61,5243,1534,2639,0
development,19,21,175,2395,2,836,10,29,0,0
forest,276,2893,1555614,27295,6729,15455,248385,91765,285143,27
urban,111,585,11092,96239,2333,10015,3079,7248,2396,9
water,0,89,2554,365,295428,21,89,6752,2904,8
ag,346,1496,4290,29452,610,406795,12029,10608,8,0
grass_shrub,64,1455,26950,63512,1069,75341,105286,93408,4286,1
wetland,41,3224,81322,23924,34622,18856,91070,200787,80536,350
beaver,0,30,185,46,202,45,459,492,272,0
insect_disease,3,55,1835,27,293,1,408,353,2660,0
