,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,2502,37,14236,77,16,109,2344,1389,4446,0
development,0,61,82,600,2,537,120,17,13,0
forest,73520,24350,983800,6224,7083,12211,163836,50717,725040,5655
urban,384,15791,9573,81956,1431,19210,3092,6236,3877,16
water,9,1313,3224,232,389170,195,76,6601,6305,21
ag,682,21356,10134,47677,1297,424750,19604,22722,353,3
grass_shrub,661,30466,36784,35206,1525,85711,108175,77905,16769,8
wetland,1835,6782,44483,8414,35936,5901,63986,228873,85458,952
beaver,1,0,1,0,5,0,64,160,382,0
insect_disease,90,430,9706,60,59,53,302,501,1095,6
