,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10489,25367,2337,3351,3307,19351,3724,3878,7251,5154
development,157,240,10,39,17,66,78,66,133,143
forest,212064,111147,272863,281396,294025,168856,282537,281137,182455,198262
urban,12433,9048,11858,12552,13096,9390,14150,12571,11095,12628
water,19234,10529,83535,90386,103942,16655,21122,18316,15936,21852
ag,47613,68601,18700,29806,22651,85475,48178,42126,41618,46729
grass_shrub,40443,40549,22505,28869,25125,29173,40555,33972,36519,42818
wetland,42649,27776,24077,35436,26463,27911,56890,46339,43939,53143
beaver,204,136,89,139,98,104,200,161,160,204
insect_disease,1353,1367,657,1373,612,1074,2436,2262,1596,1878
