,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,787,8,5432,195,0,89,3081,1736,15812,6
development,1,300,531,2145,63,439,50,99,548,0
forest,744,4777,1153624,32132,6187,16959,125024,66756,443445,951
urban,126,4180,9807,126930,1938,10264,2600,8426,3386,376
water,0,620,1891,535,353119,157,56,4494,2928,18
ag,569,6710,23554,57321,1205,483041,60734,35916,1721,32
grass_shrub,129,6873,38389,62388,412,55035,84090,120826,44749,2051
wetland,169,9943,71470,26226,22834,31684,94461,168977,151987,387
beaver,0,12,361,8,86,390,339,356,1015,0
insect_disease,0,0,2659,16,0,1,698,331,2499,10
